Age,Gender,School Type,Occupation Type,Years of Experience,Subject,Class Size,Teaching Duration,Teaching Strategy Usage,Average Student Scores,Student Passing Percentage,Teaching Strategy Rating,Student Positive Feedback,Teaching Strategy
35,0,2,1,15,1,1,30,1,3,3,5,5,Problem-based Learning
18,0,1,0,1,1,3,61,0,2,2,5,5,Problem-based Learning
18,1,1,0,8,1,2,45,0,0,3,3,3,Problem-based Learning
28,1,1,1,10,1,3,45,1,3,3,5,5,Practical Exercises
29,1,1,1,6,1,3,45,0,2,3,5,5,Problem-based Learning
19,1,1,0,4,1,3,45,0,2,1,4,4,Practical Exercises
35,1,1,3,10,0,3,45,0,3,2,4,5,Practical Exercises
26,1,2,1,8,4,3,30,0,3,3,5,5,Practical Exercises
24,1,2,3,4,1,3,45,0,2,3,4,4,Problem-based Learning
30,1,1,0,10,1,3,60,0,3,3,4,3,Problem-based Learning
29,1,1,1,8,1,3,45,1,2,2,4,4,Practical Exercises
28,1,1,1,10,1,2,45,0,2,3,5,5,Continuous Evaluation and Feedback
28,1,1,0,3,1,2,30,0,3,3,5,5,Cooperative Learning
28,0,1,0,6,1,3,30,1,2,2,5,5,Practical Exercises
29,1,1,1,6,1,3,30,1,2,2,5,5,Practical Exercises
28,1,1,1,8,1,3,30,1,2,2,5,5,Practical Exercises
18,1,1,0,5,3,3,45,0,3,3,4,4,Problem-based Learning
28,1,1,1,8,0,1,60,0,3,2,5,5,Practical Exercises
28,1,1,3,6,0,3,45,1,2,2,5,5,Practical Exercises
19,1,1,0,6,1,2,45,0,2,2,4,4,Practical Exercises
18,1,1,0,12,0,1,30,0,2,2,4,4,Practical Exercises
19,1,1,0,1,2,2,30,1,2,1,4,4,Cooperative Learning
20,1,1,1,6,1,2,45,0,3,3,4,4,Practical Exercises
19,1,1,0,0,1,3,61,0,3,2,4,4,Problem-based Learning
26,1,1,1,1,1,2,30,1,1,2,3,3,Problem-based Learning
20,1,1,0,3,1,3,45,1,3,3,4,4,Problem-based Learning
20,1,1,0,0,0,4,45,0,2,3,4,4,Problem-based Learning
20,1,1,0,10,3,2,45,0,2,2,4,4,Practical Exercises
20,1,1,0,0,0,4,45,1,3,3,4,4,Problem-based Learning
25,0,1,0,2,2,3,15,0,1,2,4,4,Practical Exercises
18,1,2,2,10,1,4,45,0,3,3,5,5,Practical Exercises
33,1,2,1,10,1,4,45,1,2,3,5,5,Problem-based Learning
20,1,1,0,3,1,3,45,0,2,3,5,5,Problem-based Learning
28,1,2,3,5,1,3,60,1,3,3,5,5,Resource Sharing and Online Communities
20,1,1,0,6,2,4,45,0,3,3,5,5,Practical Exercises
22,1,0,0,8,1,4,30,0,2,2,3,3,Problem-based Learning
26,0,1,0,3,1,3,15,1,2,2,4,4,Problem-based Learning
20,1,1,0,0,1,4,45,0,2,2,5,5,Problem-based Learning
25,1,1,0,1,1,3,30,1,2,3,4,4,Practical Exercises
20,1,1,0,6,1,4,45,0,2,3,5,5,Problem-based Learning
40,1,1,1,20,1,3,45,1,3,3,5,5,Problem-based Learning
20,0,1,0,10,1,4,45,0,2,3,5,5,Problem-based Learning
20,1,1,0,3,4,4,45,1,2,3,4,4,Cooperative Learning
28,0,1,0,4,1,4,15,0,1,3,5,5,Practical Exercises
25,0,1,0,3,0,4,30,0,3,2,4,4,Practical Exercises
30,0,2,0,6,1,3,30,0,2,2,3,4,Problem-based Learning
21,1,1,0,2,3,3,30,0,1,1,4,4,Cooperative Learning
19,0,1,0,10,0,0,15,2,3,2,4,4,Practical Exercises
20,0,1,0,3,0,3,60,0,3,3,5,5,Practical Exercises
20,1,1,0,4,0,3,45,0,2,0,4,4,Problem-based Learning
20,1,1,0,1,2,4,30,0,2,2,4,4,Practical Exercises
18,1,1,0,3,1,3,30,0,2,2,5,5,Problem-based Learning
22,1,1,0,15,1,1,45,1,3,3,4,5,Resource Sharing and Online Communities
19,1,1,1,30,1,4,45,1,2,3,5,5,Problem-based Learning
21,1,1,0,9,2,4,61,0,2,1,3,3,Practical Exercises
33,0,1,1,6,2,4,15,0,2,2,4,4,Problem-based Learning
35,1,1,1,5,1,4,15,0,1,2,3,3,Problem-based Learning
40,1,1,1,10,3,3,61,1,1,1,2,2,Resource Sharing and Online Communities
46,1,2,1,12,1,1,45,0,1,3,2,3,Problem-based Learning
49,0,3,1,12,4,0,60,0,1,1,4,5,Cooperative Learning
44,0,1,1,13,5,3,61,2,1,2,2,1,Resource Sharing and Online Communities
30,1,2,1,5,3,2,30,0,2,1,2,2,Continuous Evaluation and Feedback
53,1,3,2,15,5,2,60,0,2,3,3,3,Resource Sharing and Online Communities
52,1,1,1,20,0,3,60,0,0,1,5,5,Continuous Evaluation and Feedback
36,1,1,1,5,1,2,30,1,0,1,3,3,Resource Sharing and Online Communities
33,1,3,1,7,3,2,60,1,2,2,3,2,Resource Sharing and Online Communities
36,0,3,1,4,2,0,60,1,1,1,3,2,Continuous Evaluation and Feedback
53,0,1,1,15,5,1,45,2,2,1,4,5,Resource Sharing and Online Communities
39,0,2,1,8,3,2,30,1,2,1,3,4,Cooperative Learning
34,1,2,1,6,5,2,45,0,1,2,4,3,Continuous Evaluation and Feedback
41,1,3,1,9,3,2,45,0,1,1,3,3,Resource Sharing and Online Communities
40,1,2,1,7,3,1,30,0,1,2,4,3,Cooperative Learning
50,1,3,1,19,1,1,61,2,2,3,3,3,Continuous Evaluation and Feedback
33,0,3,1,6,1,1,45,0,2,2,4,4,Problem-based Learning
36,0,1,1,7,1,2,30,0,3,3,3,4,Problem-based Learning
53,1,2,2,20,1,3,30,0,2,2,4,4,Practical Exercises
34,0,1,1,4,0,3,45,1,1,1,3,4,Continuous Evaluation and Feedback
32,1,2,1,3,3,3,45,0,0,2,5,4,Cooperative Learning
42,0,3,1,13,5,4,45,1,2,2,3,3,Continuous Evaluation and Feedback
53,0,3,1,18,1,4,45,2,1,0,4,4,Cooperative Learning
37,0,3,1,8,3,3,61,0,1,0,3,3,Practical Exercises
44,0,3,1,12,3,1,30,2,2,1,3,4,Problem-based Learning
36,0,1,1,4,1,2,15,0,1,2,5,5,Cooperative Learning
40,1,3,1,8,3,2,30,0,2,2,2,3,Problem-based Learning
36,1,1,1,5,3,1,45,0,1,1,3,3,Resource Sharing and Online Communities
31,1,1,1,3,5,3,30,2,1,3,4,4,Resource Sharing and Online Communities
30,0,2,1,34,5,2,45,1,2,2,4,4,Continuous Evaluation and Feedback
29,0,1,1,2,3,2,45,0,1,2,2,3,Resource Sharing and Online Communities
39,1,2,1,10,1,1,61,2,2,1,4,3,Practical Exercises
29,1,1,1,3,1,1,60,2,2,0,3,3,Practical Exercises
43,0,3,1,9,5,2,45,2,2,1,4,3,Resource Sharing and Online Communities
36,0,2,1,7,1,1,60,1,1,3,5,4,Practical Exercises
33,0,2,1,6,3,2,45,0,0,1,3,2,Cooperative Learning
39,1,2,1,9,5,1,45,2,0,3,2,1,Continuous Evaluation and Feedback
40,1,3,1,10,4,1,30,0,2,2,3,4,Resource Sharing and Online Communities
37,0,1,1,8,1,2,15,0,0,2,3,3,Resource Sharing and Online Communities
29,1,3,1,3,0,3,30,0,2,1,2,1,Resource Sharing and Online Communities
28,1,2,1,2,1,2,60,0,1,2,2,3,Practical Exercises
49,1,1,1,12,1,2,30,0,2,3,3,2,Practical Exercises
52,1,2,1,20,0,4,45,1,3,1,4,4,Continuous Evaluation and Feedback
53,0,1,1,22,1,1,60,0,0,1,3,4,Problem-based Learning
29,0,1,1,4,3,3,30,1,0,1,2,3,Problem-based Learning
39,1,1,1,6,1,1,45,2,2,1,4,4,Problem-based Learning
52,1,1,1,21,1,3,61,2,2,1,4,3,Cooperative Learning
25,0,3,1,1,1,1,30,0,2,0,3,3,Cooperative Learning
32,1,1,1,3,1,2,60,1,1,1,3,3,Problem-based Learning
27,0,2,1,24,1,1,15,0,2,2,4,4,Continuous Evaluation and Feedback
32,0,1,1,5,1,1,45,1,0,2,3,3,Cooperative Learning
33,0,1,1,4,1,2,30,0,0,2,4,4,Practical Exercises
28,1,3,1,3,3,2,30,2,2,1,3,4,Resource Sharing and Online Communities
47,0,2,1,124,0,1,15,0,1,3,3,3,Continuous Evaluation and Feedback
33,0,1,1,5,5,3,30,0,2,2,4,3,Resource Sharing and Online Communities
52,1,1,1,204,1,2,30,0,0,2,2,3,Cooperative Learning
35,1,1,1,6,3,3,30,2,3,1,2,2,Resource Sharing and Online Communities
35,0,3,1,64,1,1,30,1,0,3,5,3,Cooperative Learning
37,1,1,1,9,3,2,30,0,2,1,4,4,Cooperative Learning
43,1,3,1,9,5,2,45,0,2,1,5,5,Resource Sharing and Online Communities
34,0,1,1,3,3,0,61,0,1,0,4,4,Practical Exercises
48,0,3,1,12,2,0,60,2,0,1,2,3,Cooperative Learning
30,0,3,1,5,3,1,45,1,2,2,4,3,Problem-based Learning
53,0,3,1,21,1,4,45,0,0,0,3,3,Cooperative Learning
38,0,3,1,6,1,3,15,1,2,1,3,4,Continuous Evaluation and Feedback
26,1,3,1,2,1,2,30,0,2,2,4,3,Cooperative Learning
42,1,3,1,12,4,0,30,1,2,2,2,3,Resource Sharing and Online Communities
32,0,1,1,4,1,2,61,1,2,3,4,5,Problem-based Learning
33,0,1,1,74,5,3,45,2,0,2,4,3,Cooperative Learning
53,1,3,2,21,1,2,15,0,1,3,3,3,Problem-based Learning
36,0,3,1,5,0,2,60,2,1,2,3,4,Resource Sharing and Online Communities
28,0,1,1,2,1,1,15,1,1,1,3,3,Practical Exercises
49,0,1,1,14,3,1,60,0,0,2,4,4,Resource Sharing and Online Communities
29,0,1,1,4,2,1,60,1,2,2,4,4,Problem-based Learning
33,1,2,1,5,5,3,60,0,0,2,4,4,Continuous Evaluation and Feedback
36,1,1,1,6,3,3,45,0,2,3,4,3,Continuous Evaluation and Feedback
27,1,1,1,2,5,2,45,1,0,2,3,4,Cooperative Learning
28,0,1,1,2,1,2,30,0,0,1,4,5,Problem-based Learning
36,1,2,1,7,3,1,45,0,0,2,3,3,Problem-based Learning
32,1,3,1,54,1,1,15,2,2,1,3,3,Problem-based Learning
29,0,3,1,3,1,1,60,0,2,1,2,3,Problem-based Learning
35,1,3,1,6,3,1,60,0,2,2,3,3,Resource Sharing and Online Communities
49,0,1,1,15,5,3,60,0,2,2,4,4,Practical Exercises
31,0,2,1,5,3,1,45,2,2,2,2,3,Problem-based Learning
33,1,1,1,5,1,2,45,0,2,0,4,5,Problem-based Learning
31,0,1,1,44,1,2,30,1,0,0,4,4,Cooperative Learning
43,0,1,1,12,1,1,61,0,1,1,4,5,Practical Exercises
30,0,2,1,3,0,4,60,2,0,1,3,4,Cooperative Learning
26,0,1,1,1,1,2,30,0,1,3,3,3,Problem-based Learning
46,0,1,1,12,5,2,60,0,0,1,2,2,Resource Sharing and Online Communities
25,1,1,1,1,5,1,45,0,0,1,4,3,Resource Sharing and Online Communities
26,1,1,1,1,1,2,30,1,1,2,3,3,Cooperative Learning
45,1,1,1,15,1,2,45,1,0,1,4,4,Continuous Evaluation and Feedback
28,1,1,1,2,1,2,30,0,2,2,4,3,Continuous Evaluation and Feedback
28,1,2,1,3,3,2,45,0,0,2,2,2,Problem-based Learning
50,0,3,1,20,1,2,45,1,0,1,3,3,Practical Exercises
39,1,3,1,8,5,1,30,1,3,1,4,3,Continuous Evaluation and Feedback
31,1,1,1,5,4,3,30,0,1,1,3,3,Cooperative Learning
40,1,2,1,12,3,4,15,0,3,2,3,5,Resource Sharing and Online Communities
48,0,2,1,14,1,1,45,0,2,3,4,4,Problem-based Learning
40,0,2,1,13,5,1,45,0,0,2,3,2,Continuous Evaluation and Feedback
33,1,1,1,6,3,1,45,0,1,1,4,3,Problem-based Learning
40,0,1,1,16,5,1,61,0,1,2,3,3,Resource Sharing and Online Communities
30,0,1,1,4,5,2,61,0,1,1,3,4,Resource Sharing and Online Communities
37,1,1,1,8,3,3,45,1,0,1,3,2,Resource Sharing and Online Communities
37,0,3,1,5,4,0,60,2,0,3,3,3,Practical Exercises
28,0,1,1,3,3,4,30,1,1,1,2,2,Continuous Evaluation and Feedback
40,1,1,1,14,5,1,30,0,2,1,3,2,Continuous Evaluation and Feedback
46,1,1,1,18,2,2,61,1,1,2,4,5,Practical Exercises
40,0,1,1,11,3,3,45,1,1,2,2,4,Problem-based Learning
45,1,1,1,13,1,1,60,2,0,2,4,5,Continuous Evaluation and Feedback
33,1,3,1,6,1,3,15,0,1,2,3,3,Problem-based Learning
29,1,1,1,3,3,2,15,0,1,2,5,5,Problem-based Learning
44,1,3,1,12,1,3,60,0,0,0,4,5,Practical Exercises
30,0,1,1,4,1,2,60,0,2,1,2,2,Cooperative Learning
34,1,1,1,5,2,1,15,1,2,2,3,3,Practical Exercises
36,1,1,1,8,5,2,60,2,1,2,3,4,Continuous Evaluation and Feedback
53,1,3,1,21,2,1,45,0,1,2,3,3,Continuous Evaluation and Feedback
44,0,2,1,16,1,2,45,2,1,2,3,4,Cooperative Learning
36,1,1,1,64,5,1,60,2,2,0,4,5,Continuous Evaluation and Feedback
34,1,2,1,5,0,4,45,0,0,2,4,4,Continuous Evaluation and Feedback
31,1,2,1,5,1,2,45,1,0,1,2,2,Continuous Evaluation and Feedback
32,0,2,1,5,3,3,45,1,2,2,3,2,Continuous Evaluation and Feedback
28,0,3,1,2,4,0,45,0,0,2,3,2,Resource Sharing and Online Communities
41,1,2,2,13,5,1,45,0,1,1,4,3,Resource Sharing and Online Communities
49,1,1,1,13,3,2,45,0,1,0,2,2,Cooperative Learning
50,0,3,1,16,3,3,30,2,1,1,2,2,Practical Exercises
27,0,3,1,2,5,2,30,0,2,1,3,4,Cooperative Learning
33,0,1,1,54,5,2,45,0,1,1,3,4,Continuous Evaluation and Feedback
52,1,2,1,1,1,2,60,0,1,3,5,4,Practical Exercises
48,1,2,1,17,3,2,15,0,0,2,3,2,Cooperative Learning
35,0,1,1,8,1,2,61,0,0,0,3,4,Resource Sharing and Online Communities
25,0,1,1,1,5,1,30,0,2,1,4,4,Practical Exercises
39,0,1,1,10,5,3,45,2,2,1,5,4,Resource Sharing and Online Communities
28,1,1,1,3,5,4,45,2,3,3,4,5,Resource Sharing and Online Communities
30,1,1,1,5,2,1,15,1,2,2,3,3,Cooperative Learning
46,1,1,1,14,4,2,30,1,2,2,3,3,Resource Sharing and Online Communities
25,1,3,1,1,3,2,30,0,1,1,2,3,Problem-based Learning
26,1,1,1,1,5,2,30,1,1,1,3,3,Continuous Evaluation and Feedback
28,0,1,1,24,3,4,15,1,1,3,3,3,Practical Exercises
27,0,1,1,2,1,2,30,0,1,2,4,5,Practical Exercises
49,1,1,1,18,5,2,45,2,0,2,3,4,Continuous Evaluation and Feedback
31,0,3,1,5,0,4,30,1,0,1,3,3,Cooperative Learning
34,1,1,1,6,3,3,45,1,0,1,4,3,Cooperative Learning
38,0,3,1,6,1,1,45,1,1,2,3,4,Practical Exercises
42,1,3,1,144,5,1,45,0,2,2,4,3,Resource Sharing and Online Communities
41,0,2,1,12,1,4,15,1,1,1,4,4,Resource Sharing and Online Communities
25,1,3,1,144,2,2,15,0,0,2,4,3,Resource Sharing and Online Communities
38,0,1,1,9,1,1,30,1,1,1,4,4,Practical Exercises
48,0,3,3,12,1,2,45,2,1,2,4,2,Cooperative Learning
32,1,3,1,5,5,3,61,0,3,1,4,3,Continuous Evaluation and Feedback
52,1,1,1,25,4,1,45,1,1,3,2,3,Resource Sharing and Online Communities
40,1,1,1,9,5,1,45,0,0,2,3,3,Continuous Evaluation and Feedback
47,0,1,1,12,3,2,60,0,0,0,3,3,Resource Sharing and Online Communities
47,1,2,1,14,3,3,45,1,1,2,5,4,Problem-based Learning
52,0,3,1,21,1,2,15,0,1,1,2,2,Problem-based Learning
50,1,1,1,20,1,1,60,0,2,1,3,4,Continuous Evaluation and Feedback
47,1,3,1,12,1,2,60,2,1,2,4,3,Problem-based Learning
30,1,1,1,4,5,2,45,1,2,1,5,5,Continuous Evaluation and Feedback
31,0,3,1,6,3,2,45,0,0,1,4,3,Problem-based Learning
34,1,3,1,5,1,2,60,0,2,2,3,3,Practical Exercises
36,1,1,1,5,1,1,60,1,2,1,3,3,Problem-based Learning
31,0,1,1,4,1,4,60,0,0,3,4,4,Cooperative Learning
25,0,3,1,1,3,0,45,0,1,2,3,2,Problem-based Learning
37,0,1,1,8,1,2,45,0,2,1,4,4,Practical Exercises
32,1,2,1,6,5,3,60,1,2,1,4,3,Resource Sharing and Online Communities
28,1,3,1,3,0,2,45,0,0,1,2,2,Resource Sharing and Online Communities
28,0,1,1,3,1,3,15,2,2,2,3,3,Practical Exercises
42,0,1,3,12,3,3,30,0,2,2,4,3,Resource Sharing and Online Communities
32,1,3,1,3,2,0,60,1,0,1,3,2,Resource Sharing and Online Communities
40,0,3,1,10,3,3,15,1,1,1,3,3,Cooperative Learning
39,1,2,1,5,2,0,15,2,2,3,3,2,Cooperative Learning
49,1,2,1,15,3,4,45,0,0,1,3,3,Problem-based Learning
28,1,2,1,3,3,2,45,0,0,2,2,2,Problem-based Learning
42,0,3,1,13,5,4,45,1,2,2,3,3,Continuous Evaluation and Feedback
44,1,1,1,12,5,3,45,2,0,1,3,3,Resource Sharing and Online Communities
32,0,1,1,4,1,2,61,1,2,3,4,5,Problem-based Learning
33,0,1,1,7,5,3,45,2,0,2,4,3,Cooperative Learning
42,1,3,1,12,4,0,30,1,2,2,2,3,Resource Sharing and Online Communities
28,0,1,1,2,1,1,15,1,1,1,3,3,Practical Exercises
36,0,3,1,5,0,2,60,2,1,2,3,4,Resource Sharing and Online Communities
49,0,1,1,14,3,1,60,0,0,2,4,4,Resource Sharing and Online Communities
33,1,2,1,5,5,3,60,0,0,2,4,4,Continuous Evaluation and Feedback
28,0,1,1,24,1,2,30,0,0,1,4,5,Problem-based Learning
36,1,1,1,6,3,3,45,0,2,3,4,3,Continuous Evaluation and Feedback
27,1,1,1,24,5,2,45,1,0,2,3,4,Cooperative Learning
36,1,2,1,7,3,1,45,0,0,2,3,3,Problem-based Learning
29,0,3,1,3,1,1,60,0,2,1,2,3,Problem-based Learning
32,1,3,1,54,1,1,15,2,2,1,3,3,Problem-based Learning
35,1,3,1,6,3,1,60,0,2,2,3,3,Resource Sharing and Online Communities
31,0,2,1,5,3,1,45,2,2,2,2,3,Problem-based Learning
49,0,1,1,15,5,3,60,0,2,2,4,4,Practical Exercises
33,1,1,1,5,1,2,45,0,2,0,4,5,Problem-based Learning
31,0,1,1,4,1,2,30,1,0,0,4,4,Cooperative Learning
30,0,2,1,3,0,4,60,2,0,1,3,4,Cooperative Learning
43,0,1,1,12,1,1,61,0,1,1,4,5,Practical Exercises
26,0,1,1,1,1,2,30,0,1,3,3,3,Problem-based Learning
46,0,1,1,12,5,2,60,0,0,1,2,2,Resource Sharing and Online Communities
28,1,1,1,2,1,2,30,1,1,2,3,3,Cooperative Learning
29,1,1,1,2,1,2,30,0,2,2,4,3,Continuous Evaluation and Feedback
45,1,1,1,15,1,2,45,1,0,1,4,4,Continuous Evaluation and Feedback
28,1,2,1,3,3,2,45,0,0,2,2,2,Problem-based Learning
39,1,3,1,8,5,1,30,1,3,1,4,3,Continuous Evaluation and Feedback
50,0,3,1,20,1,2,45,1,0,1,3,3,Practical Exercises
31,1,1,1,5,4,3,30,0,1,1,3,3,Cooperative Learning
40,1,2,1,124,3,4,15,0,3,2,3,5,Resource Sharing and Online Communities
48,0,2,1,14,1,1,45,0,2,3,4,4,Problem-based Learning
40,0,2,1,13,5,1,45,0,0,2,3,2,Continuous Evaluation and Feedback
33,1,1,1,64,3,1,45,0,1,1,4,3,Problem-based Learning
40,0,1,1,16,5,1,61,0,1,2,3,3,Resource Sharing and Online Communities
37,1,1,1,8,3,3,45,1,0,1,3,2,Resource Sharing and Online Communities
30,0,1,1,4,5,2,61,0,1,1,3,4,Resource Sharing and Online Communities
37,0,3,1,5,4,0,60,2,0,3,3,3,Practical Exercises
28,0,1,1,3,3,4,30,1,1,1,2,2,Continuous Evaluation and Feedback
46,1,1,1,18,2,2,61,1,1,2,4,5,Practical Exercises
29,1,2,1,4,4,0,60,0,1,0,4,4,Resource Sharing and Online Communities
40,1,1,1,14,5,1,30,0,2,1,3,2,Continuous Evaluation and Feedback
45,1,1,1,13,1,1,60,2,0,2,4,5,Continuous Evaluation and Feedback
29,1,1,1,3,3,2,15,0,1,2,5,5,Problem-based Learning
44,1,3,1,12,1,3,60,0,0,0,4,5,Practical Exercises
40,0,1,1,11,3,3,45,1,1,2,2,4,Problem-based Learning
33,1,3,1,6,1,3,15,0,1,2,3,3,Problem-based Learning
34,1,1,1,5,2,1,15,1,2,2,3,3,Practical Exercises
30,0,1,1,4,1,2,60,0,2,1,2,2,Cooperative Learning
41,1,2,1,11,5,2,61,0,1,2,3,3,Cooperative Learning
36,1,1,1,8,5,2,60,2,1,2,3,4,Continuous Evaluation and Feedback
53,1,3,1,21,2,1,45,0,1,2,3,3,Continuous Evaluation and Feedback
36,1,1,1,6,5,1,60,2,2,0,4,5,Continuous Evaluation and Feedback
48,0,3,1,14,3,4,60,0,1,2,4,4,Cooperative Learning
34,1,2,1,54,0,4,45,0,0,2,4,4,Continuous Evaluation and Feedback
44,0,2,1,16,1,2,45,2,1,2,3,4,Cooperative Learning
31,1,2,1,4,1,2,45,1,0,1,2,2,Continuous Evaluation and Feedback
32,0,2,1,5,3,3,45,1,2,2,3,2,Continuous Evaluation and Feedback
49,1,1,1,13,3,2,45,0,1,0,2,2,Cooperative Learning
28,0,3,1,2,4,0,45,0,0,2,3,2,Resource Sharing and Online Communities
41,1,2,2,13,5,1,45,0,1,1,4,3,Resource Sharing and Online Communities
27,0,3,1,2,5,2,30,0,2,1,3,4,Cooperative Learning
33,0,1,1,5,5,2,45,0,1,1,3,4,Continuous Evaluation and Feedback
35,0,1,1,8,1,2,61,0,0,0,3,4,Resource Sharing and Online Communities
39,0,1,1,10,5,3,45,2,2,1,5,4,Resource Sharing and Online Communities
